COD,DATE,CLASS
SC_KAL_1,13/12/2023,0
SC_KAL_2,13/12/2023,0
SC_KAL_3,13/12/2023,0
SC_KAL_4,13/12/2023,0
SC_KAL_5,13/12/2023,0
SC_KAL_6,13/12/2023,0
SC_KAL_7,13/12/2023,0
SC_KAL_8,13/12/2023,1
SC_KAL_9,13/12/2023,1
SC_KAL_10,13/12/2023,1
SC_KEL_11,13/12/2023,0
SC_KEL_12,13/12/2023,0
SC_KEL_13,13/12/2023,2
SC_KEL_14,13/12/2023,2
SC_KEL_15,13/12/2023,0
SC_KEL_16,13/12/2023,0
SC_KEL_17,13/12/2023,1
SC_KEL_18,13/12/2023,1
SC_KEL_19,13/12/2023,0
SC_KEL_20,13/12/2023,0
SC_ALL_21,13/12/2023,1
SC_ALL_22,13/12/2023,0
SC_ALL_23,13/12/2023,0
SC_ALL_24,13/12/2023,1
SC_ALL_25,13/12/2023,2
SC_ALL_26,13/12/2023,1
SC_ALL_27,13/12/2023,2
SC_ALL_28,13/12/2023,0
SC_ALL_29,13/12/2023,1
SC_ALL_30,13/12/2023,2
SC_CTR_31,13/12/2023,0
SC_CTR_32,13/12/2023,0
SC_CTR_33,13/12/2023,0
SC_CTR_34,13/12/2023,0
SC_CTR_35,13/12/2023,1
SC_CTR_36,13/12/2023,1
SC_CTR_37,13/12/2023,1
SC_CTR_38,13/12/2023,1
SC_CTR_39,13/12/2023,0
SC_CTR_40,13/12/2023,0
SC_KAE_41,13/12/2023,2
SC_KAE_42,13/12/2023,0
SC_KAE_43,13/12/2023,2
SC_KAE_44,13/12/2023,0
SC_KAE_45,13/12/2023,0
SC_KAE_46,13/12/2023,2
SC_KAE_47,13/12/2023,3
SC_KAE_48,13/12/2023,1
SC_KAE_49,13/12/2023,2
SC_KAE_50,13/12/2023,0
SC_RIS_51,13/12/2023,0
SC_RIS_52,13/12/2023,1
SC_RIS_53,13/12/2023,1
SC_RIS_54,13/12/2023,2
SC_RIS_55,13/12/2023,2
SC_RIS_56,13/12/2023,3
SC_RIS_57,13/12/2023,0
SC_RIS_58,13/12/2023,0
SC_RIS_59,13/12/2023,0
SC_RIS_60,13/12/2023,0
SC_BSS_61,13/12/2023,0
SC_BSS_62,13/12/2023,0
SC_BSS_63,13/12/2023,0
SC_BSS_64,13/12/2023,0
SC_BSS_65,13/12/2023,0
SC_BSS_66,13/12/2023,0
SC_BSS_67,13/12/2023,2
SC_BSS_68,13/12/2023,1
SC_BSS_69,13/12/2023,0
SC_BSS_70,13/12/2023,0
SC_KEE_71,13/12/2023,0
SC_KEE_72,13/12/2023,1
SC_KEE_73,13/12/2023,1
SC_KEE_74,13/12/2023,2
SC_KEE_75,13/12/2023,0
SC_KEE_76,13/12/2023,0
SC_KEE_77,13/12/2023,0
SC_KEE_78,13/12/2023,1
SC_KEE_79,13/12/2023,2
SC_KEE_80,13/12/2023,0
IE_KAL_81,13/12/2023,2
IE_KAL_82,13/12/2023,1
IE_KAL_83,13/12/2023,0
IE_KAL_84,13/12/2023,0
IE_KAL_85,13/12/2023,2
IE_KAL_86,13/12/2023,0
IE_KAL_87,13/12/2023,0
IE_KAL_88,13/12/2023,2
IE_KAL_89,13/12/2023,0
IE_KAL_90,13/12/2023,0
IE_KEL_91,13/12/2023,3
IE_KEL_92,13/12/2023,2
IE_KEL_93,13/12/2023,0
IE_KEL_94,13/12/2023,0
IE_KEL_95,13/12/2023,0
IE_KEL_96,13/12/2023,0
IE_KEL_97,13/12/2023,0
IE_KEL_98,13/12/2023,0
IE_KEL_99,13/12/2023,0
IE_ALL_100,13/12/2023,0
IE_ALL_101,13/12/2023,0
IE_ALL_102,13/12/2023,0
IE_ALL_103,13/12/2023,0
IE_ALL_104,13/12/2023,1
IE_ALL_105,13/12/2023,2
IE_ALL_106,13/12/2023,2
IE_ALL_107,13/12/2023,2
IE_ALL_108,13/12/2023,1
IE_ALL_109,13/12/2023,0
IE_ALL_110,13/12/2023,0
IE_RIS_111,13/12/2023,2
IE_RIS_112,13/12/2023,1
IE_RIS_113,13/12/2023,3
IE_RIS_114,13/12/2023,0
IE_RIS_115,13/12/2023,0
IE_RIS_116,13/12/2023,2
IE_RIS_117,13/12/2023,1
IE_RIS_118,13/12/2023,1
IE_RIS_119,13/12/2023,0
IE_RIS_120,13/12/2023,0
IE_CTR_121,13/12/2023,2
IE_CTR_122,13/12/2023,3
IE_CTR_123,13/12/2023,2
IE_CTR_124,13/12/2023,4
IE_CTR_125,13/12/2023,2
IE_CTR_126,13/12/2023,3
IE_CTR_127,13/12/2023,0
IE_CTR_128,13/12/2023,2
IE_CTR_129,13/12/2023,2
IE_CTR_130,13/12/2023,2
IE_KAE_131,13/12/2023,0
IE_KAE_132,13/12/2023,1
IE_KAE_133,13/12/2023,2
IE_KAE_134,13/12/2023,2
IE_KAE_135,13/12/2023,0
IE_KAE_136,13/12/2023,0
IE_KAE_137,13/12/2023,0
IE_KAE_138,13/12/2023,2
IE_KAE_139,13/12/2023,1
IE_KAE_140,13/12/2023,2
IE_BSS_141,13/12/2023,1
IE_BSS_142,13/12/2023,1
