"","COD","date","VI","VALUE","CLASS","CLASS_MODEL"
"1","BZ_KAL_561",2023-08-21,"BLUE",524,NA,NA
"2","BZ_KAL_562",2023-08-21,"BLUE",644,NA,NA
"3","BZ_KAL_565",2023-08-21,"BLUE",704,NA,NA
"4","BZ_KAL_566",2023-08-21,"BLUE",648,NA,NA
"5","BZ_KEL_571",2023-08-21,"BLUE",645,NA,NA
"6","BZ_KEL_573",2023-08-21,"BLUE",607,NA,NA
"7","BZ_KEL_574",2023-08-21,"BLUE",662,NA,NA
"8","BZ_KEL_575",2023-08-21,"BLUE",586,NA,NA
"9","BZ_KEL_577",2023-08-21,"BLUE",509,NA,NA
"10","BZ_KEL_578",2023-08-21,"BLUE",471,NA,NA
"11","BZ_KEL_579",2023-08-21,"BLUE",630.333333333333,NA,NA
"12","BZ_KEL_580",2023-08-21,"BLUE",676.5,NA,NA
"13","BZ_ALL_581",2023-08-21,"BLUE",638.5,NA,NA
"14","BZ_ALL_583",2023-08-21,"BLUE",587,NA,NA
"15","BZ_ALL_584",2023-08-21,"BLUE",699.5,NA,NA
"16","BZ_ALL_585",2023-08-21,"BLUE",556.333333333333,NA,NA
"17","BZ_ALL_586",2023-08-21,"BLUE",560.5,NA,NA
"18","BZ_ALL_588",2023-08-21,"BLUE",541,NA,NA
"19","BZ_ALL_589",2023-08-21,"BLUE",513,NA,NA
"20","BZ_ALL_590",2023-08-21,"BLUE",496,NA,NA
"21","BZ_CTR_591",2023-08-21,"BLUE",480,NA,NA
"22","BZ_CTR_593",2023-08-21,"BLUE",612.5,NA,NA
"23","BZ_CTR_595",2023-08-21,"BLUE",532,NA,NA
"24","BZ_CTR_596",2023-08-21,"BLUE",523.5,NA,NA
"25","BZ_CTR_597",2023-08-21,"BLUE",664,NA,NA
"26","BZ_CTR_599",2023-08-21,"BLUE",561,NA,NA
"27","BZ_CTR_600",2023-08-21,"BLUE",771,NA,NA
"28","BZ_BSS_601",2023-08-21,"BLUE",688.5,NA,NA
"29","BZ_BSS_604",2023-08-21,"BLUE",672.666666666667,NA,NA
"30","BZ_BSS_609",2023-08-21,"BLUE",623,NA,NA
"31","BZ_BSS_610",2023-08-21,"BLUE",519,NA,NA
"32","BZ_RIS_611",2023-08-21,"BLUE",525,NA,NA
"33","BZ_RIS_613",2023-08-21,"BLUE",608.5,NA,NA
"34","BZ_RIS_614",2023-08-21,"BLUE",595,NA,NA
"35","BZ_RIS_616",2023-08-21,"BLUE",518,NA,NA
"36","BZ_RIS_617",2023-08-21,"BLUE",479,NA,NA
"37","BZ_RIS_618",2023-08-21,"BLUE",466,NA,NA
"38","BZ_RIS_620",2023-08-21,"BLUE",594,NA,NA
"39","BZ_KAE_621",2023-08-21,"BLUE",438,NA,NA
"40","BZ_KAE_623",2023-08-21,"BLUE",472.5,NA,NA
"41","BZ_KAE_624",2023-08-21,"BLUE",551,NA,NA
"42","BZ_KAE_625",2023-08-21,"BLUE",650.5,NA,NA
"43","BZ_KAE_626",2023-08-21,"BLUE",456,NA,NA
"44","BZ_KAE_628",2023-08-21,"BLUE",383,NA,NA
"45","BZ_KAE_629",2023-08-21,"BLUE",452,NA,NA
"46","BZ_KAE_630",2023-08-21,"BLUE",462,NA,NA
"47","BZ_KEE_631",2023-08-21,"BLUE",430,NA,NA
"48","BZ_KEE_632",2023-08-21,"BLUE",433.75,NA,NA
"49","BZ_KEE_633",2023-08-21,"BLUE",473.666666666667,NA,NA
"50","BZ_KEE_634",2023-08-21,"BLUE",382.714285714286,NA,NA
"51","BZ_KEE_635",2023-08-21,"BLUE",417.5,NA,NA
"52","BZ_KEE_636",2023-08-21,"BLUE",400,NA,NA
"53","BZ_KEE_637",2023-08-21,"BLUE",414,NA,NA
"54","BZ_KEE_638",2023-08-21,"BLUE",390,NA,NA
"55","BZ_KEE_639",2023-08-21,"BLUE",419,NA,NA
"56","BZ_KEE_640",2023-08-21,"BLUE",437.5,NA,NA
"57","BZ_KAL_561",2023-08-21,"DVI",1270,NA,NA
"58","BZ_KAL_562",2023-08-21,"DVI",1274,NA,NA
"59","BZ_KAL_565",2023-08-21,"DVI",1189,NA,NA
"60","BZ_KAL_566",2023-08-21,"DVI",1177,NA,NA
"61","BZ_KEL_571",2023-08-21,"DVI",1142,NA,NA
"62","BZ_KEL_573",2023-08-21,"DVI",1154,NA,NA
"63","BZ_KEL_574",2023-08-21,"DVI",1113,NA,NA
"64","BZ_KEL_575",2023-08-21,"DVI",1799,NA,NA
"65","BZ_KEL_577",2023-08-21,"DVI",1803,NA,NA
"66","BZ_KEL_578",2023-08-21,"DVI",1657,NA,NA
"67","BZ_KEL_579",2023-08-21,"DVI",1468.33333333333,NA,NA
"68","BZ_KEL_580",2023-08-21,"DVI",1175.5,NA,NA
"69","BZ_ALL_581",2023-08-21,"DVI",1455,NA,NA
"70","BZ_ALL_583",2023-08-21,"DVI",1596.5,NA,NA
"71","BZ_ALL_584",2023-08-21,"DVI",1223,NA,NA
"72","BZ_ALL_585",2023-08-21,"DVI",1415.66666666667,NA,NA
"73","BZ_ALL_586",2023-08-21,"DVI",1331.5,NA,NA
"74","BZ_ALL_588",2023-08-21,"DVI",1408,NA,NA
"75","BZ_ALL_589",2023-08-21,"DVI",1458,NA,NA
"76","BZ_ALL_590",2023-08-21,"DVI",1674,NA,NA
"77","BZ_CTR_591",2023-08-21,"DVI",1670,NA,NA
"78","BZ_CTR_593",2023-08-21,"DVI",1456.5,NA,NA
"79","BZ_CTR_595",2023-08-21,"DVI",1743,NA,NA
"80","BZ_CTR_596",2023-08-21,"DVI",1637,NA,NA
"81","BZ_CTR_597",2023-08-21,"DVI",1521,NA,NA
"82","BZ_CTR_599",2023-08-21,"DVI",1454,NA,NA
"83","BZ_CTR_600",2023-08-21,"DVI",1118,NA,NA
"84","BZ_BSS_601",2023-08-21,"DVI",1123,NA,NA
"85","BZ_BSS_604",2023-08-21,"DVI",1203,NA,NA
"86","BZ_BSS_609",2023-08-21,"DVI",1500,NA,NA
"87","BZ_BSS_610",2023-08-21,"DVI",1566,NA,NA
"88","BZ_RIS_611",2023-08-21,"DVI",1493,NA,NA
"89","BZ_RIS_613",2023-08-21,"DVI",1347,NA,NA
"90","BZ_RIS_614",2023-08-21,"DVI",1426,NA,NA
"91","BZ_RIS_616",2023-08-21,"DVI",1693.5,NA,NA
"92","BZ_RIS_617",2023-08-21,"DVI",1636,NA,NA
"93","BZ_RIS_618",2023-08-21,"DVI",1857,NA,NA
"94","BZ_RIS_620",2023-08-21,"DVI",1538.5,NA,NA
"95","BZ_KAE_621",2023-08-21,"DVI",1819,NA,NA
"96","BZ_KAE_623",2023-08-21,"DVI",1462.5,NA,NA
"97","BZ_KAE_624",2023-08-21,"DVI",1329,NA,NA
"98","BZ_KAE_625",2023-08-21,"DVI",1554.5,NA,NA
"99","BZ_KAE_626",2023-08-21,"DVI",1865,NA,NA
"100","BZ_KAE_628",2023-08-21,"DVI",1691,NA,NA
"101","BZ_KAE_629",2023-08-21,"DVI",1500,NA,NA
"102","BZ_KAE_630",2023-08-21,"DVI",1610,NA,NA
"103","BZ_KEE_631",2023-08-21,"DVI",1784,NA,NA
"104","BZ_KEE_632",2023-08-21,"DVI",1694.5,NA,NA
"105","BZ_KEE_633",2023-08-21,"DVI",1728.33333333333,NA,NA
"106","BZ_KEE_634",2023-08-21,"DVI",1926.57142857143,NA,NA
"107","BZ_KEE_635",2023-08-21,"DVI",2229.5,NA,NA
"108","BZ_KEE_636",2023-08-21,"DVI",2162,NA,NA
"109","BZ_KEE_637",2023-08-21,"DVI",1733,NA,NA
"110","BZ_KEE_638",2023-08-21,"DVI",1628.5,NA,NA
"111","BZ_KEE_639",2023-08-21,"DVI",1575.33333333333,NA,NA
"112","BZ_KEE_640",2023-08-21,"DVI",1678,NA,NA
"113","BZ_KAL_561",2023-08-21,"EVI",0.780481815338135,NA,NA
"114","BZ_KAL_562",2023-08-21,"EVI",0.832594494024912,NA,NA
"115","BZ_KAL_565",2023-08-21,"EVI",0.680829107761383,NA,NA
"116","BZ_KAL_566",2023-08-21,"EVI",0.583829343318939,NA,NA
"117","BZ_KEL_571",2023-08-21,"EVI",0.571057081222534,NA,NA
"118","BZ_KEL_573",2023-08-21,"EVI",0.575102150440216,NA,NA
"119","BZ_KEL_574",2023-08-21,"EVI",0.646491646766663,NA,NA
"120","BZ_KEL_575",2023-08-21,"EVI",1.02099883556366,NA,NA
"121","BZ_KEL_577",2023-08-21,"EVI",1.35747623443604,NA,NA
"122","BZ_KEL_578",2023-08-21,"EVI",1.12890040874481,NA,NA
"123","BZ_KEL_579",2023-08-21,"EVI",0.68803471326828,NA,NA
"124","BZ_KEL_580",2023-08-21,"EVI",0.55442750453949,NA,NA
"125","BZ_ALL_581",2023-08-21,"EVI",0.814933657646179,NA,NA
"126","BZ_ALL_583",2023-08-21,"EVI",0.939971417188644,NA,NA
"127","BZ_ALL_584",2023-08-21,"EVI",0.71538433432579,NA,NA
"128","BZ_ALL_585",2023-08-21,"EVI",0.892707983652751,NA,NA
"129","BZ_ALL_586",2023-08-21,"EVI",0.808497726917267,NA,NA
"130","BZ_ALL_588",2023-08-21,"EVI",0.849933624267578,NA,NA
"131","BZ_ALL_589",2023-08-21,"EVI",1.3930823802948,NA,NA
"132","BZ_ALL_590",2023-08-21,"EVI",1.02926707267761,NA,NA
"133","BZ_CTR_591",2023-08-21,"EVI",1.44263994693756,NA,NA
"134","BZ_CTR_593",2023-08-21,"EVI",0.842711955308914,NA,NA
"135","BZ_CTR_595",2023-08-21,"EVI",1.40791594982147,NA,NA
"136","BZ_CTR_596",2023-08-21,"EVI",1.30751526355743,NA,NA
"137","BZ_CTR_597",2023-08-21,"EVI",0.863615691661835,NA,NA
"138","BZ_CTR_599",2023-08-21,"EVI",0.916194081306458,NA,NA
"139","BZ_CTR_600",2023-08-21,"EVI",0.609913796186447,NA,NA
"140","BZ_BSS_601",2023-08-21,"EVI",0.536760360002518,NA,NA
"141","BZ_BSS_604",2023-08-21,"EVI",0.615582128365835,NA,NA
"142","BZ_BSS_609",2023-08-21,"EVI",0.917431175708771,NA,NA
"143","BZ_BSS_610",2023-08-21,"EVI",1.14423501491547,NA,NA
"144","BZ_RIS_611",2023-08-21,"EVI",1.01772320270538,NA,NA
"145","BZ_RIS_613",2023-08-21,"EVI",0.786730885505676,NA,NA
"146","BZ_RIS_614",2023-08-21,"EVI",0.877538442611694,NA,NA
"147","BZ_RIS_616",2023-08-21,"EVI",1.21923959255219,NA,NA
"148","BZ_RIS_617",2023-08-21,"EVI",1.23359978199005,NA,NA
"149","BZ_RIS_618",2023-08-21,"EVI",1.38416814804077,NA,NA
"150","BZ_RIS_620",2023-08-21,"EVI",1.00489994883537,NA,NA
"151","BZ_KAE_621",2023-08-21,"EVI",1.47073090076447,NA,NA
"152","BZ_KAE_623",2023-08-21,"EVI",1.02610790729523,NA,NA
"153","BZ_KAE_624",2023-08-21,"EVI",0.948066771030426,NA,NA
"154","BZ_KAE_625",2023-08-21,"EVI",1.06738317012787,NA,NA
"155","BZ_KAE_626",2023-08-21,"EVI",1.57836830615997,NA,NA
"156","BZ_KAE_628",2023-08-21,"EVI",1.37457323074341,NA,NA
"157","BZ_KAE_629",2023-08-21,"EVI",1.26603651046753,NA,NA
"158","BZ_KAE_630",2023-08-21,"EVI",1.56189370155334,NA,NA
"159","BZ_KEE_631",2023-08-21,"EVI",1.56821382045746,NA,NA
"160","BZ_KEE_632",2023-08-21,"EVI",1.53794345259666,NA,NA
"161","BZ_KEE_633",2023-08-21,"EVI",1.3122163216273,NA,NA
"162","BZ_KEE_634",2023-08-21,"EVI",1.69020737920489,NA,NA
"163","BZ_KEE_635",2023-08-21,"EVI",1.85161072015762,NA,NA
"164","BZ_KEE_636",2023-08-21,"EVI",1.69542038440704,NA,NA
"165","BZ_KEE_637",2023-08-21,"EVI",1.45581316947937,NA,NA
"166","BZ_KEE_638",2023-08-21,"EVI",1.44485199451447,NA,NA
"167","BZ_KEE_639",2023-08-21,"EVI",1.52331312497457,NA,NA
"168","BZ_KEE_640",2023-08-21,"EVI",1.39499431848526,NA,NA
"169","BZ_KAL_561",2023-08-21,"GCI",1.71081411838531,NA,NA
"170","BZ_KAL_562",2023-08-21,"GCI",2.02687501907349,NA,NA
"171","BZ_KAL_565",2023-08-21,"GCI",1.73630142211914,NA,NA
"172","BZ_KAL_566",2023-08-21,"GCI",1.79469430446625,NA,NA
"173","BZ_KEL_571",2023-08-21,"GCI",1.84147799015045,NA,NA
"174","BZ_KEL_573",2023-08-21,"GCI",1.49576270580292,NA,NA
"175","BZ_KEL_574",2023-08-21,"GCI",1.61839079856873,NA,NA
"176","BZ_KEL_575",2023-08-21,"GCI",2.68289470672607,NA,NA
"177","BZ_KEL_577",2023-08-21,"GCI",2.8981761932373,NA,NA
"178","BZ_KEL_578",2023-08-21,"GCI",2.54927539825439,NA,NA
"179","BZ_KEL_579",2023-08-21,"GCI",2.18539865811666,NA,NA
"180","BZ_KEL_580",2023-08-21,"GCI",1.61474943161011,NA,NA
"181","BZ_ALL_581",2023-08-21,"GCI",2.07533514499664,NA,NA
"182","BZ_ALL_583",2023-08-21,"GCI",2.27874886989594,NA,NA
"183","BZ_ALL_584",2023-08-21,"GCI",1.90526133775711,NA,NA
"184","BZ_ALL_585",2023-08-21,"GCI",2.3045129776001,NA,NA
"185","BZ_ALL_586",2023-08-21,"GCI",2.12105858325958,NA,NA
"186","BZ_ALL_588",2023-08-21,"GCI",2.34458518028259,NA,NA
"187","BZ_ALL_589",2023-08-21,"GCI",2.52759742736816,NA,NA
"188","BZ_ALL_590",2023-08-21,"GCI",3.01102352142334,NA,NA
"189","BZ_CTR_591",2023-08-21,"GCI",2.82333874702454,NA,NA
"190","BZ_CTR_593",2023-08-21,"GCI",2.15549647808075,NA,NA
